No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
350,Sports Team/Club,#992424,#FFFFFF,#98593E,#FFFFFF,#229191,#0F172A,#F7F7F5,#7F1D1D,#FFFFFF,#7F1D1D,#E9EBE8,#5B6980,#D6C6C3,#DC2626,#FFFFFF,#992424,"athletic exercise fitness gym team workout, complementary",Team red + championship gold [Accent adjusted from #FBBF24 for WCAG 3:1] [Variant of No.71; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: sports-team-club; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
354,Coding Bootcamp,#7B96D5,#0F172A,#7878BF,#000000,#8ABCD6,#0F172A,#101217,#F8FAFC,#191C21,#F8FAFC,#272B35,#94A3B8,#4D5059,#D93C3C,#000000,#7B96D5,"code developer engineer programming software, analogous",Dark bg + code cyan [Variant of No.75; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
355,Cybersecurity Platform,#7BD592,#0F172A,#78BF9F,#0F172A,#92D68A,#0F172A,#101711,#E0E0E0,#19211B,#E0E0E0,#27352B,#94A3B8,#48544C,#D93C3C,#000000,#7BD592,"hacking privacy protection security, analogous",Matrix green + alert red [Variant of No.76; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: cybersecurity-platform; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
358,Space Tech / Aerospace,#A0B2C5,#0F172A,#9299B0,#0F172A,#A4C7CC,#0F172A,#111315,#F8FAFC,#1A1D20,#F8FAFC,#282E33,#94A3B8,#4D5357,#D93C3C,#000000,#A0B2C5,"aerospace rocket satellite, morandi",Star white + launch blue [Variant of No.79; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: space-tech-aerospace; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
359,Architecture / Interior,#42506C,#FFFFFF,#565976,#FFFFFF,#3B5C68,#FFFFFF,#F4F1EB,#171717,#FFFEFA,#171717,#DCDFE4,#536278,#B9BBBF,#DC2626,#FFFFFF,#42506C,"architecture building construction decoration design home interior room, morandi",Minimal black + accent gold [Accent adjusted from #D4AF37 for WCAG 3:1] [Variant of No.80; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: home-interior|hospitality|lifestyle; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
360,Quantum Computing Interface,#7BD5D5,#0F172A,#78AABF,#0F172A,#8AD6BA,#0F172A,#101717,#E0E0FF,#192121,#E0E0FF,#273535,#94A3B8,#485459,#D93C3C,#000000,#7BD5D5,"quantum computing science research simulation algorithm, analogous",Quantum cyan + interference purple [Variant of No.81; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: quantum-computing-interface; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
363,Generative Art Platform,#242499,#FFFFFF,#593E98,#FFFFFF,#8E8F22,#09090B,#F7F7F5,#09090B,#FFFFFF,#09090B,#E9EBE8,#5A6A7F,#C1C2C0,#DC2626,#FFFFFF,#242499,"generative art creative algorithm procedural artistic, complementary",Canvas neutral + creative pink [Variant of No.84; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: generative-art-platform; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
364,Spatial Computing OS / App,#A0AFC5,#0F172A,#9297B0,#0F172A,#A4C4CC,#0F172A,#111315,#807E7B,#1A1D20,#878582,#282D33,#91959A,#383C40,#995754,#FFFFFF,#A0AFC5,"spatial computing vr ar mixed reality 3d immersive, morandi",Glass white + system blue [Accent adjusted from #007AFF for WCAG 3:1] [Variant of No.85; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: spatial-computing-os-app; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
365,Sustainable Energy / Climate Tech,#2B886B,#000000,#438E8E,#0F172A,#2C7D46,#FFFFFF,#F5F7F6,#064E3B,#FFFFFF,#064E3B,#E3E8E6,#59677E,#BBCCC7,#DC2626,#FFFFFF,#2B886B,"clean climate eco energy green power solar sustainable, analogous",Nature green + solar gold [Accent adjusted from #FBBF24 for WCAG 3:1]; bg neutralized [Variant of No.86; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
366,Personal Finance Tracker,#7B90D5,#0F172A,#7C78BF,#000000,#8AB8D6,#0F172A,#101117,#FFFFFF,#191B21,#FFFFFF,#272A35,#94A3B8,#4E5059,#DC2626,#FFFFFF,#7B90D5,"bank banking financial fintech money, analogous",Professional blue + finance amber [Variant of No.87; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: finance|banking|wealth-management; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
369,Habit Tracker,#885D2B,#FFFFFF,#8E8243,#0F172A,#7D3A2C,#FFFFFF,#F7F6F5,#0F172A,#FFFFFF,#0F172A,#E8E6E3,#58677E,#C1C1C2,#DC2626,#FFFFFF,#885D2B,"daily discipline goal routine tracker, analogous",Amber + focus blue [bg neutralized from #FFFBEB; cream moved to Card surface] [Variant of No.90; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
370,Food Delivery / On-Demand,#994C24,#FFFFFF,#98783E,#000000,#226B91,#FFFFFF,#F7F7F5,#0F172A,#FFFFFF,#0F172A,#E9EBE8,#5B6980,#C2C5C6,#DC2626,#FFFFFF,#994C24,"cooking courier cuisine dining eat logistics meal recipe restaurant shipping transport, complementary",Appetizing orange + trust blue [Variant of No.91; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: food-delivery-on-demand; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
371,Ride Hailing / Transportation,#7B9FD5,#0F172A,#787EBF,#0F172A,#8AC4D6,#0F172A,#101217,#FFFFFF,#191C21,#FFFFFF,#272C35,#94A3B8,#4E5259,#DC2626,#FFFFFF,#7B9FD5,"ride hailing taxi cab transportation sharing uber, analogous",Map dark + route blue [Variant of No.92; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
373,Meditation & Mindfulness,#42626C,#FFFFFF,#566776,#FFFFFF,#3B6861,#FFFFFF,#F4F1EB,#164E63,#FFFEFA,#164E63,#DCE2E4,#55637A,#B8C7CD,#DC2626,#FFFFFF,#42626C,"calm mindfulness peaceful relax zen, morandi",Deep ocean + warm amber glow; bg neutralized [Variant of No.94; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: meditation-mindfulness; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
375,Diary & Journal App,#6C5242,#FFFFFF,#766A56,#FFFFFF,#683B3C,#FFFFFF,#F4F1EB,#0F172A,#FFFEFA,#0F172A,#E4DFDC,#55637A,#BEBBBC,#DC2626,#FFFFFF,#6C5242,"daily diary journal notes personal writing, morandi",Warm journal brown + ink violet [Variant of No.96; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
379,Booking & Appointment App,#2B6788,#FFFFFF,#435D8E,#FFFFFF,#2C7D7C,#FFFFFF,#F5F6F7,#0F172A,#FFFFFF,#0F172A,#E3E6E8,#58667D,#BDC1C6,#DC2626,#FFFFFF,#2B6788,"appointment reservation schedule, analogous",Blue + green accent [Primary/Accent darkened for WCAG]; bg neutralized [Variant of No.100; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: booking-appointment-app; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
381,Grocery & Shopping List,#2B886B,#000000,#438E8E,#0F172A,#2C7D46,#FFFFFF,#F5F7F6,#0F172A,#FFFFFF,#0F172A,#E3E8E6,#58677D,#BDC2C4,#DC2626,#FFFFFF,#2B886B,"buy ecommerce food list mall market retail shop shopping store supermarket, analogous",Fresh green + food amber; bg neutralized [Variant of No.102; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
382,Timer & Pomodoro,#D57B7B,#0F172A,#BF8D78,#0F172A,#D68AA6,#0F172A,#171010,#FFFFFF,#211919,#FFFFFF,#352727,#94A3B8,#594E4E,#A05959,#FFFFFF,#D57B7B,"clock countdown focus pomodoro productivity, analogous",Energy red + focus blue [Variant of No.103; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: timer-pomodoro; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
383,Parenting & Baby Tracker,#882B59,#FFFFFF,#8E4352,#FFFFFF,#7D2C72,#FFFFFF,#F7F5F6,#0F172A,#FFFFFF,#0F172A,#E8E3E5,#57667C,#C1BEC3,#DC2626,#FFFFFF,#882B59,"baby child family infant newborn parent parenting toddler, analogous",Soft pink + trust blue [Variant of No.104; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
388,Voice Recorder & Memo,#882B2B,#FFFFFF,#8E5943,#FFFFFF,#7D2C49,#FFFFFF,#F7F5F5,#0F172A,#FFFFFF,#0F172A,#E8E3E3,#57667B,#C1BEC2,#9F2F32,#FFFFFF,#882B2B,"audio recording sound speech, analogous",Recording red + waveform blue [Variant of No.109; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: voice-recorder-memo; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
391,Calculator & Unit Converter,#D59A7B,#0F172A,#BFA678,#0F172A,#D68A8C,#0F172A,#171210,#FFFFFF,#211C19,#FFFFFF,#352C27,#95A4B8,#59524E,#DC2626,#FFFFFF,#D59A7B,"compute converter math, analogous",Operation orange on dark [Variant of No.112; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: calculator-unit-converter; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
392,Alarm & World Clock,#D5AC7B,#0F172A,#BFB478,#0F172A,#D6978A,#0F172A,#171310,#FFFFFF,#211E19,#FFFFFF,#352E27,#94A3B8,#59544E,#DC2626,#FFFFFF,#D5AC7B,"alert clock reminder time wake, analogous",Time amber + night indigo on dark [Variant of No.113; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: alarm-world-clock; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
394,Casual Puzzle Game,#99245E,#FFFFFF,#983E50,#FFFFFF,#22915A,#000000,#F7F7F5,#0F172A,#FFFFFF,#0F172A,#E9EBE8,#5B6980,#C2C5C6,#DC2626,#FFFFFF,#99245E,"arcade brain challenge easy entertainment fun game gaming light play puzzle relaxed simple trivia, complementary",Cheerful pink + reward gold [Variant of No.116; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
395,Trivia & Quiz Game,#244899,#FFFFFF,#3E3F98,#FFFFFF,#916E22,#FFFFFF,#F7F7F5,#0F172A,#FFFFFF,#0F172A,#E9EBE8,#5B6980,#C2C5C6,#DC2626,#FFFFFF,#244899,"answer arcade entertainment fun gaming knowledge play puzzle question quiz, complementary",Quiz blue + gold leaderboard [Variant of No.117; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
396,Card & Board Game,#73DE9B,#0F172A,#72C5AA,#0F172A,#DF77B8,#0F172A,#0F1115,#FFFFFF,#171A20,#FFFFFF,#252932,#94A3B8,#4C5057,#DC2626,#FFFFFF,#73DE9B,"arcade board classic entertainment fun gaming play puzzle strategy table, complementary",Felt green + gold on dark [Variant of No.118; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
397,Idle & Clicker Game,#996324,#FFFFFF,#988A3E,#0F172A,#225591,#FFFFFF,#F7F7F5,#0F172A,#FFFFFF,#0F172A,#E9EBE8,#5B6980,#C2C5C6,#DC2626,#FFFFFF,#996324,"arcade clicker entertainment fun gaming incremental play puzzle simple tap, complementary",Coin gold + prestige purple [Variant of No.119; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
398,Word & Crossword Game,#249950,#0F172A,#3E987B,#0F172A,#912267,#FFFFFF,#F7F7F5,#0F172A,#FFFFFF,#0F172A,#E9EBE8,#5A6980,#C2C5C6,#DC2626,#FFFFFF,#249950,"arcade crossword entertainment fun gaming play puzzle spell text vocabulary, complementary",Word green + letter amber [Variant of No.120; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
399,Arcade & Retro Game,#DE7373,#0F172A,#C58B72,#0F172A,#77DFDF,#0F172A,#0F1115,#FFFFFF,#171A20,#FFFFFF,#252932,#94A3B8,#4C5057,#A05959,#FFFFFF,#DE7373,"arcade classic entertainment fun gaming nostalgic pixel play puzzle retro, complementary",Arcade red + retro yellow [Variant of No.121; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
400,Photo Editor & Filters,#9B73DE,#0F172A,#AA72C5,#0F172A,#B8DF77,#0F172A,#0F1115,#FFFFFF,#171A20,#FFFFFF,#252932,#94A3B8,#4C5057,#DC2626,#FFFFFF,#9B73DE,"camera capture image photography picture, complementary",Editor violet + filter cyan on dark [Variant of No.122; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: photo-editor-filters; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
401,Short Video Editor,#DE73A8,#0F172A,#C57282,#0F172A,#77DFAB,#0F172A,#0F1115,#FFFFFF,#171A20,#FFFFFF,#252932,#94A3B8,#4C5057,#DC2626,#FFFFFF,#DE73A8,"clip film movie recording streaming, complementary",Video pink on dark + timeline blue [Variant of No.123; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: short-video-editor; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
405,AI Photo & Avatar Generator,#248299,#000000,#3E6B98,#FFFFFF,#913822,#FFFFFF,#F7F7F5,#164E63,#FFFFFF,#164E63,#E9EBE8,#5B6980,#C2CED0,#DC2626,#FFFFFF,#248299,"camera capture character face image photography picture portrait selfie, complementary",Creative cyan + generation pink [Variant of No.127; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
406,Wardrobe & Outfit Planner,#6C4253,#FFFFFF,#76565C,#FFFFFF,#683B60,#FFFFFF,#F4F1EB,#0F172A,#FFFEFA,#0F172A,#E4DCE0,#536278,#BEB9BF,#DC2626,#FFFFFF,#6C4253,"clothing dress fashion outfit style wardrobe, morandi",Fashion rose + gold accent [Variant of No.129; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: wardrobe-outfit-planner; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
407,Plant Care Tracker,#426C51,#FFFFFF,#567669,#FFFFFF,#3C683B,#FFFFFF,#F4F1EB,#0F172A,#FFFEFA,#0F172A,#DCE4DF,#56647B,#B7BFBE,#DC2626,#FFFFFF,#426C51,"floral flower garden green nature, morandi",Nature green + sun yellow; bg neutralized [Variant of No.130; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: plant-care-tracker; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
414,Sleep Tracker,#A3A0C5,#0F172A,#9B92B0,#0F172A,#A4B1CC,#0F172A,#111115,#FFFFFF,#1B1A20,#FFFFFF,#292833,#94A3B8,#504F58,#DC2626,#FFFFFF,#A3A0C5,"bedtime insomnia night rest, morandi",Night indigo + dream violet on dark [Variant of No.138; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: sleep-tracker; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
423,Coding Challenge & Practice,#7BD59C,#0F172A,#78BFA8,#0F172A,#8AD68A,#0F172A,#101712,#FFFFFF,#19211C,#FFFFFF,#27352C,#94A3B8,#4E5952,#DC2626,#FFFFFF,#7BD59C,"code developer engineer programming software, analogous",Code green + difficulty amber on dark [Variant of No.147; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
425,Public Transit Guide,#2B4888,#FFFFFF,#43448E,#FFFFFF,#2C637D,#FFFFFF,#F5F6F7,#0F172A,#FFFFFF,#0F172A,#E3E5E8,#58667D,#BDC0C6,#DC2626,#FFFFFF,#2B4888,"bus commute metro public subway train, analogous",Transit blue + line colors [Variant of No.151; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
426,Road Trip Planner,#884A2B,#FFFFFF,#8E7343,#000000,#7D2C2E,#FFFFFF,#F7F6F5,#0F172A,#FFFFFF,#0F172A,#E8E5E3,#58667D,#C1C0C2,#DC2626,#FFFFFF,#884A2B,"car driving highway route travel trip, analogous",Adventure orange + map teal [Variant of No.152; Color theory: Analogous; screenshot-guided; AA verified] | Scenario: road-trip-planner; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
428,Emergency SOS & Safety,#992424,#FFFFFF,#98593E,#FFFFFF,#229191,#0F172A,#F7F7F5,#0F172A,#FFFFFF,#0F172A,#E9EBE8,#5A6A7F,#C2C5C6,#DC2626,#FFFFFF,#992424,"alert crisis safety sos urgent, complementary",Alert red + safety blue [Variant of No.154; Color theory: Complementary; screenshot-guided; AA verified] | Scenario: emergency-sos-safety; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
430,White Noise & Ambient Sound,#A0AFC5,#0F172A,#9297B0,#0F172A,#A4C4CC,#0F172A,#111315,#FFFFFF,#1A1D20,#FFFFFF,#282D33,#94A3B8,#4F5358,#DC2626,#FFFFFF,#A0AFC5,"ambient noise relax sleep sound, morandi",Ambient grey + deep indigo on dark [Variant of No.156; Color theory: Morandi; screenshot-guided; AA verified] | Scenario: white-noise-ambient-sound; Avoid: —; Origin confidence: 0.65; Recommendation: scenario-first|variant; Evidence: rendered-claimed-no-source.
431,Luxury Fashion / Editorial,#342D2A,#FFFFFF,#76625A,#FFFFFF,#9A5A2C,#FFFFFF,#F7F2EC,#211B18,#FFFCF8,#211B18,#E9E0D7,#5E514A,#D5C6BA,#B4233D,#FFFFFF,#8A4F2A,apparel atelier boutique editorial fashion luxury premium retail,"Advanced atelier palette — graphite, parchment and burnished leather; AA text pairs and 3:1+ component contrast verified | Scenario: saas|developer-tools|ai-products; Avoid: childcare|mass-market-discount; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
432,Fine Dining / Chef's Table,#5C2430,#FFFFFF,#7A4D3B,#FFFFFF,#8D5B18,#FFFFFF,#FBF7F0,#2B1719,#FFFDF8,#2B1719,#ECE2D8,#66544D,#D7C8BA,#B4233D,#FFFFFF,#7B303F,chef culinary dining fine-dining food gastronomy restaurant wine,"Advanced chef's table palette — oxblood, roasted umber and restrained saffron; AA text pairs and 3:1+ component contrast verified | Scenario: fine-dining-chef-s-table; Avoid: —; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
433,Boutique Hotel / Retreat,#173F46,#FFFFFF,#527279,#FFFFFF,#92641F,#FFFFFF,#F5F2EA,#17272A,#FFFEF9,#17272A,#E4E3D8,#536361,#C9D0C7,#B4233D,#FFFFFF,#24606A,accommodation boutique hotel hospitality retreat resort travel wellness,"Advanced retreat palette — deep lagoon, weathered teal and antique brass; AA text pairs and 3:1+ component contrast verified | Scenario: boutique-hotel-retreat; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
434,Art Museum / Cultural Institution,#4A2636,#FFFFFF,#755766,#FFFFFF,#835E1A,#FFFFFF,#F4F0E8,#2A2023,#FFFCF7,#2A2023,#E7DDD7,#62545A,#D3C4BC,#B4233D,#FFFFFF,#69374E,archive art culture exhibition gallery museum institution,"Advanced cultural palette — archival plum, dusty rose and patinated gilt; AA text pairs and 3:1+ component contrast verified | Scenario: art-museum-cultural-institution; Avoid: —; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
435,Architecture / Interior (Material),#292B28,#FFFFFF,#5D655F,#FFFFFF,#356B60,#FFFFFF,#F4F2ED,#212420,#FFFDF8,#212420,#E3E5DF,#59615A,#C9CEC6,#B4233D,#FFFFFF,#3E6457,architecture construction interior material minimal property spatial,"Advanced material palette — charcoal, mineral gray and oxidized green; AA text pairs and 3:1+ component contrast verified | Scenario: home-interior|hospitality|lifestyle; Avoid: —; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
436,Premium Skincare / Beauty,#6B3B4A,#FFFFFF,#8C6870,#FFFFFF,#3D7065,#FFFFFF,#FCF6F2,#2B2023,#FFFCFA,#2B2023,#EFE1E2,#66545A,#E0C9CC,#B4233D,#FFFFFF,#814A5A,beauty cosmetic premium skincare spa wellness selfcare,"Advanced skincare palette — mulberry, muted rose and herb-green balance; AA text pairs and 3:1+ component contrast verified | Scenario: premium-skincare-beauty; Avoid: childcare|mass-market-discount|high-energy-gaming|flash-sale; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
437,Jewelry / Fine Goods,#28283D,#FFFFFF,#565B77,#FFFFFF,#8D651E,#FFFFFF,#F5F2EB,#242433,#FFFEFA,#242433,#E5E3E2,#5D5F6E,#CFCED3,#B4233D,#FFFFFF,#4B4F79,boutique fine-goods jewelry luxury premium watch,"Advanced fine-goods palette — midnight indigo, pewter and antique gold; AA text pairs and 3:1+ component contrast verified | Scenario: jewelry-fine-goods; Avoid: childcare|mass-market-discount; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
438,High-End Audio / Listening,#242B36,#FFFFFF,#566574,#FFFFFF,#A54A2A,#FFFFFF,#F3F1ED,#1F2933,#FCFBF8,#1F2933,#E1E3E3,#56616B,#C9D0D2,#B4233D,#FFFFFF,#3A5268,audio headphones hi-fi listening music premium sound speaker,"Advanced listening palette — studio charcoal, blue steel and copper signal; AA text pairs and 3:1+ component contrast verified | Scenario: high-end-audio-listening; Avoid: childcare|mass-market-discount; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
439,Boutique Winery / Cellar,#572638,#FFFFFF,#7A5261,#FFFFFF,#85621E,#FFFFFF,#F8F4EE,#2D1F24,#FFFDF9,#2D1F24,#EADDE0,#67565B,#D9C5CA,#B4233D,#FFFFFF,#71364B,cellar craft drink food premium vineyard wine winery,"Advanced cellar palette — merlot, dusty grape and cellar brass; AA text pairs and 3:1+ component contrast verified | Scenario: boutique-winery-cellar; Avoid: childcare|mass-market-discount; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
440,Concept Store / Lifestyle,#28382F,#FFFFFF,#566554,#FFFFFF,#A8582A,#FFFFFF,#F7F4ED,#243129,#FFFDF7,#243129,#E4E6DE,#586259,#CBD1C5,#B4233D,#FFFFFF,#3A5144,concept lifestyle premium retail shop studio sustainable,"Advanced concept-store palette — ink green, moss and clay-orange punctuation; AA text pairs and 3:1+ component contrast verified | Scenario: saas|developer-tools|ai-products; Avoid: childcare|mass-market-discount; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
441,Cultural Technology / Immersive,#7147B8,#FFFFFF,#3A3376,#FFFFFF,#23B7A5,#0F172A,#13111C,#F7F4FF,#201C2C,#F7F4FF,#2B263B,#C9C3D9,#403759,#D8556C,#0F172A,#A777E3,culture digital immersive installation media new-tech spatial,"Advanced immersive palette — ultraviolet, deep indigo and luminous teal on gallery black; AA text pairs and 3:1+ component contrast verified | Scenario: cultural-technology-immersive; Avoid: —; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
442,Climate Intelligence / Research,#214F4D,#FFFFFF,#5B776B,#FFFFFF,#98661E,#FFFFFF,#F2F3EE,#1D2A28,#FAFBF6,#1D2A28,#E1E6DE,#56635B,#C5D0C5,#B4233D,#FFFFFF,#356962,climate data energy environment intelligence research science sustainability,"Advanced climate palette — field-green, lichen gray and disciplined ochre; AA text pairs and 3:1+ component contrast verified | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
443,Style — High-End Neutral-Led (Light),#2E2A28,#FFFFFF,#6B625C,#FFFFFF,#A25C2A,#FFFFFF,#F8F6F1,#231F1D,#FFFCF8,#231F1D,#EAE5DD,#615851,#D6CEC4,#B4233D,#FFFFFF,#874A24,high-end luxury neutral-led editorial gallery minimal premium restrained primary-under-10,"Style preset: neutral-led, light, restrained. Agent usage: neutral surfaces dominate; primary is limited to CTA, focus and selection. AA text pairs and 3:1+ component contrast verified | Scenario: saas|developer-tools|ai-products; Avoid: childcare|mass-market-discount; Origin confidence: 0.9; Recommendation: style-first; Evidence: token-only."
444,Style — High-End Dark Luxe,#B88B35,#0F172A,#596476,#FFFFFF,#AD3D4D,#FFFFFF,#111217,#F6F3ED,#1C1D23,#F6F3ED,#292B31,#BDC0C8,#393C45,#D8556C,#0F172A,#C49A4D,dark-luxe high-end luxury metallic jewelry finance audio premium restrained,"Style preset: dark-luxe, dark, controlled. Agent usage: graphite surfaces dominate; brass is reserved for high-value moments, never for dense text. AA text pairs and 3:1+ component contrast verified | Scenario: finance|banking|wealth-management; Avoid: childcare|mass-market-discount; Origin confidence: 0.9; Recommendation: style-first; Evidence: token-only."
